,DateTime,Alimentos,Industrial,Agro,Metales,Energia,Promedio
0,2019-01-01,100.4665416340664,118.83690898584784,103.53614960111604,114.71138513674116,133.3020975661092,117.0782439312927
1,2019-02-01,98.77220507307229,125.80856157913796,103.60877950830836,120.8110516229627,136.04881689200965,119.0115250081528
2,2019-03-01,98.06310972074648,127.53917625223008,105.40904645448668,121.1057331209662,138.25636650054446,119.91003631374711
3,2019-04-01,101.56920127626265,129.6565292337658,104.6810168967323,121.92405724355828,143.76829423648795,123.4167306132176
4,2019-05-01,98.094289080568,129.3305775309026,105.43636036340688,121.1615612564399,139.41055701161275,120.4775408148546
5,2019-06-01,100.21284140868016,130.9890962116745,104.95859498860996,125.3390864284406,123.53231918995915,115.5289424292911
6,2019-07-01,100.2719739356133,134.43355813701976,101.4904992744262,130.72649741904445,126.88977699809683,117.96795442067403
7,2019-08-01,98.26042979659049,123.1984470091182,97.62106587341265,126.91055763558352,118.18012795815469,112.09491367477368
8,2019-09-01,96.05305775024812,124.10168631010116,97.35942871784974,128.68462067195114,123.74253068228556,114.8090662669791
9,2019-10-01,96.38219993122053,121.7363052834013,95.9201789741544,126.83533872315176,120.5054050513518,113.00901442207758
10,2019-11-01,100.27764315792746,119.0099516444008,99.18598765553524,123.45251177032782,129.10417054079247,116.98192528894336
11,2019-12-01,104.0190841424938,122.08637222366912,99.12056875002573,126.1118012327192,132.36824095167262,119.99237803134712
12,2020-01-01,105.4025628301139,124.48797255807064,102.1892134358331,131.14892078688888,127.41432450815655,119.56611511808232
13,2020-02-01,101.11147552545198,118.3128959857591,98.9658734906873,129.41635579369955,110.31233151655762,110.93974594311324
14,2020-03-01,97.19998280869116,113.21279889255294,95.85078218247122,124.5490306277995,73.6845325285698,93.73043982688168
15,2020-04-01,92.93362965547988,108.40668206834243,91.33475529606535,125.3383674468206,52.77130641791632,83.97051073924328
16,2020-05-01,96.51670586084164,112.80306518486108,90.56177912765293,129.60297289586063,66.91524934345325,91.33370490262256
17,2020-06-01,99.8056677925157,120.71737167130284,92.04682078422648,135.6700492553417,82.41515470430639,99.87527630192564
18,2020-07-01,97.63571751050326,125.86043995847822,92.36357415039828,143.91210332759655,86.90074546978414,103.08060391273354
19,2020-08-01,98.62367963380198,133.78200442417707,95.7312992609126,154.69815551909747,93.38391701253428,108.92683777099631
20,2020-09-01,99.99965291051268,136.65173926992765,97.42888831424877,154.73215885983507,90.52504216965453,108.20811336682443
21,2020-10-01,105.34815253706842,137.75586448752932,103.98206515820732,153.18155266105092,93.3353269959688,110.6154295215096
22,2020-11-01,108.41477375446766,144.38117349444752,109.39501543560588,155.41344783590273,100.1853592886972,115.14367299660468
23,2020-12-01,109.50403433667918,159.48568577885914,108.04912586697822,166.1221922516571,118.8204212012516,125.53704849634453
24,2021-01-01,116.41889683096387,167.3743986694949,111.16874724639102,171.69497143576726,138.8111254628221,137.39463710314445
25,2021-02-01,119.47747623256566,170.2545224878992,111.69688608946366,171.87489048374096,143.4359417849022,140.5667791943669
26,2021-03-01,122.2613674239421,174.96323994387143,114.474403606075,171.2842393653797,142.66097968870778,141.24668980047454
27,2021-04-01,129.7536541919158,181.23754570187495,114.13117640348916,177.8890486768167,143.34176512080165,145.041207341987
28,2021-05-01,137.2880197506058,198.16868551640428,118.88954632638922,192.49094246357305,155.26728185259117,155.6691056714508
29,2021-06-01,131.70853207259628,203.75365123323743,119.08509870590856,194.96024795219057,171.65761071230503,161.72428322249846
30,2021-07-01,132.16748476477477,202.2280033479908,112.61375291953358,193.93776917792184,183.0505936572588,166.13766447837247
31,2021-08-01,132.40005400663316,183.27296561830656,110.18050486268248,179.70051811488264,184.89142587419957,163.75647652753446
32,2021-09-01,129.1479622227952,167.86040941030024,108.46256715010288,168.11911843487763,213.71130878896764,172.67070675419868
33,2021-10-01,131.14262497462445,172.1582159900752,112.82902430350346,170.0648481092274,257.3723572679866,192.38704992116308
34,2021-11-01,132.3621963535782,161.52805779693162,116.29494094005716,163.824185002594,237.35447241477056,183.8399766499637
35,2021-12-01,135.1266630685976,168.61754836430978,114.31914503456048,166.99072673904806,241.33961263792492,186.9361226486216
36,2022-01-01,139.82140302690536,182.8462298579664,117.70859943773792,177.8554705963804,242.7563361577372,190.89959869689244
