,Año,Promedio,Alimentos,Industrial,Agro,Metales,Energia
0,2019M1,117.0782439312927,100.46654163406639,118.83690898584783,103.53614960111605,114.71138513674117,133.3020975661092
1,2019M2,119.0115250081528,98.77220507307229,125.80856157913796,103.60877950830836,120.8110516229627,136.04881689200963
2,2019M3,119.91003631374713,98.06310972074648,127.53917625223008,105.40904645448667,121.10573312096619,138.25636650054446
3,2019M4,123.4167306132176,101.56920127626263,129.6565292337658,104.6810168967323,121.92405724355827,143.76829423648795
4,2019M5,120.47754081485459,98.09428908056799,129.3305775309026,105.43636036340688,121.1615612564399,139.41055701161275
5,2019M6,115.5289424292911,100.21284140868016,130.9890962116745,104.95859498860995,125.33908642844061,123.53231918995917
6,2019M7,117.96795442067405,100.2719739356133,134.43355813701976,101.49049927442621,130.72649741904445,126.88977699809683
7,2019M8,112.09491367477368,98.26042979659047,123.19844700911821,97.62106587341263,126.91055763558352,118.18012795815469
8,2019M9,114.8090662669791,96.05305775024812,124.10168631010116,97.35942871784974,128.68462067195114,123.74253068228556
9,2019M10,113.00901442207758,96.38219993122053,121.7363052834013,95.92017897415441,126.83533872315176,120.50540505135179
10,2019M11,116.98192528894337,100.27764315792746,119.0099516444008,99.18598765553523,123.45251177032782,129.10417054079247
11,2019M12,119.99237803134712,104.0190841424938,122.08637222366912,99.12056875002573,126.1118012327192,132.36824095167262
12,2020M1,119.56611511808232,105.4025628301139,124.48797255807064,102.1892134358331,131.14892078688888,127.41432450815657
13,2020M2,110.93974594311324,101.11147552545198,118.3128959857591,98.9658734906873,129.41635579369955,110.31233151655762
14,2020M3,93.73043982688169,97.19998280869115,113.21279889255294,95.85078218247122,124.5490306277995,73.6845325285698
15,2020M4,83.97051073924328,92.93362965547989,108.40668206834243,91.33475529606537,125.3383674468206,52.771306417916314
16,2020M5,91.33370490262257,96.51670586084165,112.80306518486107,90.56177912765291,129.60297289586063,66.91524934345325
17,2020M6,99.87527630192565,99.8056677925157,120.71737167130284,92.04682078422648,135.6700492553417,82.41515470430639
18,2020M7,103.08060391273354,97.63571751050326,125.86043995847822,92.36357415039829,143.91210332759655,86.90074546978414
19,2020M8,108.92683777099633,98.62367963380198,133.78200442417707,95.7312992609126,154.69815551909747,93.38391701253427
20,2020M9,108.20811336682443,99.99965291051267,136.65173926992765,97.42888831424877,154.73215885983507,90.52504216965453
21,2020M10,110.6154295215096,105.34815253706842,137.75586448752932,103.98206515820732,153.18155266105092,93.33532699596881
22,2020M11,115.14367299660468,108.41477375446766,144.38117349444752,109.39501543560588,155.41344783590273,100.18535928869719
23,2020M12,125.53704849634453,109.50403433667918,159.48568577885914,108.04912586697822,166.1221922516571,118.8204212012516
24,2021M1,137.39463710314445,116.41889683096389,167.3743986694949,111.16874724639102,171.69497143576726,138.8111254628221
25,2021M2,140.5667791943669,119.47747623256566,170.2545224878992,111.69688608946366,171.87489048374096,143.4359417849022
26,2021M3,141.24668980047454,122.2613674239421,174.96323994387143,114.474403606075,171.2842393653797,142.66097968870778
27,2021M4,145.041207341987,129.75365419191579,181.23754570187498,114.13117640348916,177.8890486768167,143.34176512080163
28,2021M5,155.6691056714508,137.2880197506058,198.16868551640428,118.88954632638922,192.49094246357305,155.26728185259117
29,2021M6,161.72428322249846,131.70853207259628,203.75365123323743,119.08509870590856,194.96024795219057,171.65761071230503
30,2021M7,166.13766447837247,132.16748476477477,202.2280033479908,112.61375291953358,193.93776917792184,183.0505936572588
31,2021M8,163.75647652753446,132.40005400663316,183.27296561830656,110.18050486268248,179.70051811488264,184.89142587419954
32,2021M9,172.67070675419868,129.1479622227952,167.86040941030024,108.46256715010287,168.11911843487763,213.71130878896764
33,2021M10,192.38704992116308,131.14262497462443,172.1582159900752,112.82902430350346,170.0648481092274,257.3723572679866
34,2021M11,183.83997664996372,132.3621963535782,161.52805779693162,116.29494094005715,163.824185002594,237.35447241477058
35,2021M12,186.9361226486216,135.1266630685976,168.61754836430978,114.31914503456049,166.99072673904806,241.33961263792494
36,2022M1,190.89959869689244,139.82140302690536,182.8462298579664,117.70859943773793,177.8554705963804,242.75633615773722
