,Unnamed: 0,CountryName,Date,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
0,0,Aruba,20210101,35.19,35.94,41.07,0.0
31,31,Aruba,20210201,46.3,35.94,41.07,0.0
59,59,Aruba,20210301,56.48,44.17,50.48,0.0
90,90,Aruba,20210401,67.59,65.52,65.95,62.5
120,120,Aruba,20210501,60.19,58.85,65.48,12.5
151,151,Aruba,20210601,48.15,52.08,57.74,12.5
181,181,Aruba,20210701,33.33,36.46,39.88,12.5
212,212,Aruba,20210801,28.7,33.85,36.9,12.5
243,243,Aruba,20210901,43.52,36.98,40.48,12.5
273,273,Aruba,20211001,19.91,29.22,31.61,12.5
304,304,Aruba,20211101,41.67,42.71,47.02,12.5
334,334,Aruba,20211201,41.67,42.71,47.02,12.5
365,365,Afghanistan,20210101,12.04,20.83,23.81,0.0
396,396,Afghanistan,20210201,12.04,17.71,20.24,0.0
424,424,Afghanistan,20210301,12.04,20.21,23.1,0.0
455,455,Afghanistan,20210401,26.85,26.98,30.83,0.0
485,485,Afghanistan,20210501,26.85,26.98,30.83,0.0
516,516,Afghanistan,20210601,41.67,35.83,40.95,0.0
546,546,Afghanistan,20210701,46.3,34.06,38.93,0.0
577,577,Afghanistan,20210801,52.31,43.49,49.7,0.0
608,608,Afghanistan,20210901,18.52,13.75,15.71,0.0
638,638,Afghanistan,20211001,35.19,27.81,31.79,0.0
669,669,Afghanistan,20211101,27.78,21.56,24.64,0.0
699,699,Afghanistan,20211201,27.78,21.56,24.64,0.0
730,730,Angola,20210101,65.74,45.83,52.38,0.0
761,761,Angola,20210201,62.96,44.27,50.6,0.0
789,789,Angola,20210301,58.33,41.67,47.62,0.0
820,820,Angola,20210401,59.26,50.1,57.26,0.0
850,850,Angola,20210501,58.33,51.67,59.05,0.0
881,881,Angola,20210601,33.33,32.71,37.38,0.0
911,911,Angola,20210701,56.94,45.16,51.61,0.0
942,942,Angola,20210801,56.94,49.22,56.25,0.0
973,973,Angola,20210901,63.89,54.69,62.5,0.0
1003,1003,Angola,20211001,62.5,54.43,62.2,0.0
1034,1034,Angola,20211101,55.09,50.26,57.44,0.0
1064,1064,Angola,20211201,66.67,59.9,68.45,0.0
1095,1095,Albania,20210101,56.48,60.94,62.5,50.0
1126,1126,Albania,20210201,60.19,67.4,66.31,75.0
1154,1154,Albania,20210301,60.19,67.4,66.31,75.0
1185,1185,Albania,20210401,60.19,65.52,67.74,50.0
1215,1215,Albania,20210501,54.63,62.4,64.17,50.0
1246,1246,Albania,20210601,46.3,52.5,52.86,50.0
1276,1276,Albania,20210701,37.96,47.81,47.5,50.0
1307,1307,Albania,20210801,37.96,44.06,43.21,50.0
1338,1338,Albania,20210901,38.89,46.15,45.6,50.0
1368,1368,Albania,20211001,46.3,50.0,50.0,50.0
1399,1399,Albania,20211101,46.3,50.0,50.0,50.0
1429,1429,Albania,20211201,45.37,52.08,52.38,50.0
1460,1460,Andorra,20210101,52.78,63.54,58.33,100.0
1491,1491,Andorra,20210201,55.56,63.96,58.81,100.0
1519,1519,Andorra,20210301,55.56,66.35,61.55,100.0
1550,1550,Andorra,20210401,52.78,67.29,62.62,100.0
1580,1580,Andorra,20210501,65.74,72.71,72.38,75.0
1611,1611,Andorra,20210601,43.52,55.52,58.1,37.5
1641,1641,Andorra,20210701,46.3,57.08,59.88,37.5
1672,1672,Andorra,20210801,46.3,59.9,59.52,62.5
1703,1703,Andorra,20210901,51.85,63.02,63.1,62.5
1733,1733,Andorra,20211001,49.07,56.25,58.93,37.5
1764,1764,Andorra,20211101,40.74,59.37,53.57,100.0
1794,1794,Andorra,20211201,50.0,67.71,63.1,100.0
1825,1825,United Arab Emirates,20210101,49.07,52.29,52.62,50.0
1856,1856,United Arab Emirates,20210201,62.04,63.33,65.24,50.0
1884,1884,United Arab Emirates,20210301,53.7,57.4,58.45,50.0
1915,1915,United Arab Emirates,20210401,53.7,60.73,62.26,50.0
1945,1945,United Arab Emirates,20210501,56.48,62.29,64.05,50.0
1976,1976,United Arab Emirates,20210601,53.7,61.98,63.69,50.0
2006,2006,United Arab Emirates,20210701,60.65,65.89,68.15,50.0
2037,2037,United Arab Emirates,20210801,65.28,68.49,71.13,50.0
2068,2068,United Arab Emirates,20210901,46.3,57.81,58.93,50.0
2098,2098,United Arab Emirates,20211001,39.35,39.27,44.88,0.0
2129,2129,United Arab Emirates,20211101,47.69,50.78,58.04,0.0
2159,2159,United Arab Emirates,20211201,51.85,53.12,60.71,0.0
2190,2190,Argentina,20210101,79.17,72.34,71.96,75.0
2221,2221,Argentina,20210201,79.17,69.22,71.96,50.0
2249,2249,Argentina,20210301,77.31,69.43,72.2,50.0
2280,2280,Argentina,20210401,71.76,66.3,68.63,50.0
2310,2310,Argentina,20210501,77.31,70.68,73.63,50.0
2341,2341,Argentina,20210601,81.48,73.02,76.31,50.0
2371,2371,Argentina,20210701,75.0,69.38,72.14,50.0
2402,2402,Argentina,20210801,75.0,69.38,72.14,50.0
2433,2433,Argentina,20210901,75.93,71.15,74.17,50.0
2463,2463,Argentina,20211001,42.59,50.83,50.95,50.0
2494,2494,Argentina,20211101,42.59,49.27,52.74,25.0
2524,2524,Argentina,20211201,42.59,47.4,54.17,0.0
2555,2555,Australia,20210101,70.83,61.98,63.69,50.0
2586,2586,Australia,20210201,78.24,69.79,72.62,50.0
2614,2614,Australia,20210301,50.46,54.84,55.54,50.0
2645,2645,Australia,20210401,46.76,50.83,58.1,0.0
2675,2675,Australia,20210501,44.91,49.79,56.9,0.0
2706,2706,Australia,20210601,75.46,66.98,76.55,0.0
2736,2736,Australia,20210701,68.06,62.81,71.79,0.0
2767,2767,Australia,20210801,68.06,62.81,71.79,0.0
2798,2798,Australia,20210901,71.76,64.9,74.17,0.0
2828,2828,Australia,20211001,71.76,66.15,75.6,0.0
2859,2859,Australia,20211101,60.65,56.77,64.88,0.0
2889,2889,Australia,20211201,72.69,65.1,74.4,0.0
2920,2920,Austria,20210101,82.41,84.79,82.62,100.0
2951,2951,Austria,20210201,82.41,84.79,82.62,100.0
2979,2979,Austria,20210301,75.93,82.4,79.88,100.0
3010,3010,Austria,20210401,75.0,81.88,79.29,100.0
3040,3040,Austria,20210501,76.85,82.92,80.48,100.0
3071,3071,Austria,20210601,68.52,79.48,76.55,100.0
3101,3101,Austria,20210701,49.07,66.98,62.26,100.0
3132,3132,Austria,20210801,49.07,68.23,63.69,100.0
3163,3163,Austria,20210901,58.8,73.7,69.94,100.0
3193,3193,Austria,20211001,51.85,69.79,65.48,100.0
3224,3224,Austria,20211101,57.41,72.92,69.05,100.0
3254,3254,Austria,20211201,67.59,78.65,75.6,100.0
3285,3285,Azerbaijan,20210101,84.26,70.83,79.17,12.5
3316,3316,Azerbaijan,20210201,72.22,65.31,72.86,12.5
3344,3344,Azerbaijan,20210301,67.59,65.52,67.74,50.0
3375,3375,Azerbaijan,20210401,67.59,61.77,70.6,0.0
3405,3405,Azerbaijan,20210501,75.93,66.46,75.95,0.0
3436,3436,Azerbaijan,20210601,69.44,64.06,69.64,25.0
3466,3466,Azerbaijan,20210701,58.33,54.69,62.5,0.0
3497,3497,Azerbaijan,20210801,61.11,56.25,64.29,0.0
3528,3528,Azerbaijan,20210901,58.33,54.69,62.5,0.0
3558,3558,Azerbaijan,20211001,60.19,55.73,63.69,0.0
3589,3589,Azerbaijan,20211101,37.96,45.31,51.79,0.0
3619,3619,Azerbaijan,20211201,40.74,45.31,51.79,0.0
3650,3650,Burundi,20210101,14.81,19.79,17.26,37.5
3681,3681,Burundi,20210201,24.07,20.31,23.21,0.0
3709,3709,Burundi,20210301,14.81,16.67,19.05,0.0
3740,3740,Burundi,20210401,16.67,16.15,18.45,0.0
3770,3770,Burundi,20210501,15.74,17.19,14.29,37.5
3801,3801,Burundi,20210601,15.74,17.19,14.29,37.5
3831,3831,Burundi,20210701,15.74,17.19,14.29,37.5
3862,3862,Burundi,20210801,15.74,17.19,14.29,37.5
3893,3893,Burundi,20210901,15.74,17.19,14.29,37.5
3923,3923,Burundi,20211001,13.89,20.31,17.86,37.5
3954,3954,Burundi,20211101,11.11,16.67,13.69,37.5
3984,3984,Burundi,20211201,8.33,17.19,14.29,37.5
4015,4015,Belgium,20210101,60.19,66.88,62.14,100.0
4046,4046,Belgium,20210201,62.96,66.56,65.36,75.0
4074,4074,Belgium,20210301,62.96,66.56,65.36,75.0
4105,4105,Belgium,20210401,70.37,70.73,70.12,75.0
4135,4135,Belgium,20210501,54.63,65.21,63.81,75.0
4166,4166,Belgium,20210601,50.93,64.38,62.86,75.0
4196,4196,Belgium,20210701,50.93,65.62,64.29,75.0
4227,4227,Belgium,20210801,47.22,63.54,61.9,75.0
4258,4258,Belgium,20210901,43.06,61.2,59.23,75.0
4288,4288,Belgium,20211001,40.28,57.29,54.76,75.0
4319,4319,Belgium,20211101,45.83,61.2,59.23,75.0
4349,4349,Belgium,20211201,44.44,61.98,60.12,75.0
4380,4380,Benin,20210101,35.19,42.19,39.29,62.5
4411,4411,Benin,20210201,26.39,37.24,33.63,62.5
4439,4439,Benin,20210301,30.56,44.27,36.31,100.0
4470,4470,Benin,20210401,46.3,38.12,43.57,0.0
4500,4500,Benin,20210501,38.89,40.73,39.4,50.0
4531,4531,Benin,20210601,38.89,38.65,37.02,50.0
4561,4561,Benin,20210701,38.89,46.15,45.6,50.0
4592,4592,Benin,20210801,38.89,46.15,45.6,50.0
4623,4623,Benin,20210901,37.04,50.0,50.0,50.0
4653,4653,Benin,20211001,50.0,57.29,58.33,50.0
4684,4684,Benin,20211101,50.0,57.29,58.33,50.0
4714,4714,Benin,20211201,55.56,60.42,61.9,50.0
4745,4745,Burkina Faso,20210101,13.89,25.0,28.57,0.0
4776,4776,Burkina Faso,20210201,16.67,26.56,30.36,0.0
4804,4804,Burkina Faso,20210301,22.22,26.56,26.79,25.0
4835,4835,Burkina Faso,20210401,30.56,46.88,39.29,100.0
4865,4865,Burkina Faso,20210501,25.0,32.81,37.5,0.0
4896,4896,Burkina Faso,20210601,25.0,39.06,37.5,50.0
4926,4926,Burkina Faso,20210701,22.22,35.42,33.33,50.0
4957,4957,Burkina Faso,20210801,22.22,35.42,33.33,50.0
4988,4988,Burkina Faso,20210901,13.89,27.6,31.55,0.0
5018,5018,Burkina Faso,20211001,13.89,27.6,31.55,0.0
5049,5049,Burkina Faso,20211101,13.89,25.62,29.29,0.0
5079,5079,Burkina Faso,20211201,13.89,29.69,33.93,0.0
5110,5110,Bangladesh,20210101,80.09,66.09,68.39,50.0
5141,5141,Bangladesh,20210201,81.02,73.91,77.32,50.0
5169,5169,Bangladesh,20210301,81.02,75.16,78.75,50.0
5200,5200,Bangladesh,20210401,83.33,77.4,81.31,50.0
5230,5230,Bangladesh,20210501,83.33,72.08,75.24,50.0
5261,5261,Bangladesh,20210601,72.22,56.46,64.52,0.0
5291,5291,Bangladesh,20210701,86.11,63.96,73.1,0.0
5322,5322,Bangladesh,20210801,93.52,78.85,90.12,0.0
5353,5353,Bangladesh,20210901,69.44,69.06,71.79,50.0
5383,5383,Bangladesh,20211001,62.04,64.9,67.02,50.0
5414,5414,Bangladesh,20211101,36.11,51.56,51.79,50.0
