,CountryName,DateTime,StringencyIndex,ContainmentHealthIndex,EconomicSupportIndex,GovernmentResponseIndex
91,Andorra,2020-11-01,59.26,60.12,100.0,65.1
92,Andorra,2020-12-01,55.56,60.12,100.0,65.1
93,Andorra,2021-01-01,52.78,58.33,100.0,63.54
94,Andorra,2021-02-01,55.56,58.81,100.0,63.96
95,Andorra,2021-03-01,55.56,61.55,100.0,66.35
96,Andorra,2021-04-01,52.78,62.62,100.0,67.29
97,Andorra,2021-05-01,65.74,72.38,75.0,72.71
98,Andorra,2021-06-01,43.52,58.1,37.5,55.52
99,Andorra,2021-07-01,46.3,59.88,37.5,57.08
100,Andorra,2021-08-01,46.3,59.52,62.5,59.9
101,Andorra,2021-09-01,51.85,63.1,62.5,63.02
102,Andorra,2021-10-01,49.07,58.93,37.5,56.25
103,Andorra,2021-11-01,40.74,53.57,100.0,59.37
104,Andorra,2021-12-01,50.0,63.1,100.0,67.71
105,Andorra,2022-01-01,59.26,69.05,100.0,72.92
106,Andorra,2022-02-01,35.19,50.0,100.0,56.25
107,Andorra,2022-03-01,23.15,42.26,75.0,46.35
108,Angola,2020-01-01,0.0,0.0,0.0,0.0
109,Angola,2020-02-01,0.0,0.0,0.0,0.0
110,Angola,2020-03-01,8.33,7.74,0.0,6.77
111,Angola,2020-04-01,90.74,63.1,0.0,55.21
112,Angola,2020-05-01,78.7,60.71,75.0,62.5
113,Angola,2020-06-01,77.78,60.12,75.0,61.98
114,Angola,2020-07-01,75.93,58.93,25.0,54.69
115,Angola,2020-08-01,79.17,62.8,25.0,58.07
116,Angola,2020-09-01,81.02,63.99,25.0,59.11
117,Angola,2020-10-01,75.0,60.12,0.0,52.6
118,Angola,2020-11-01,60.19,51.19,25.0,47.92
119,Angola,2020-12-01,57.41,49.4,0.0,43.23
120,Angola,2021-01-01,65.74,52.38,0.0,45.83
121,Angola,2021-02-01,62.96,50.6,0.0,44.27
122,Angola,2021-03-01,58.33,47.62,0.0,41.67
123,Angola,2021-04-01,59.26,57.26,0.0,50.1
124,Angola,2021-05-01,58.33,59.05,0.0,51.67
125,Angola,2021-06-01,33.33,37.38,0.0,32.71
126,Angola,2021-07-01,56.94,51.61,0.0,45.16
127,Angola,2021-08-01,56.94,56.25,0.0,49.22
128,Angola,2021-09-01,63.89,62.5,0.0,54.69
129,Angola,2021-10-01,62.5,62.2,0.0,54.43
130,Angola,2021-11-01,55.09,57.44,0.0,50.26
131,Angola,2021-12-01,66.67,68.45,0.0,59.9
132,Angola,2022-01-01,66.67,68.45,0.0,59.9
133,Angola,2022-02-01,70.37,70.83,0.0,61.98
134,Angola,2022-03-01,60.19,68.45,0.0,59.9
135,Argentina,2020-01-01,0.0,0.0,0.0,0.0
136,Argentina,2020-02-01,11.11,7.14,0.0,6.25
137,Argentina,2020-03-01,11.11,7.14,0.0,6.25
138,Argentina,2020-04-01,100.0,80.95,75.0,80.21
139,Argentina,2020-05-01,88.89,79.17,75.0,78.65
140,Argentina,2020-06-01,90.74,80.36,75.0,79.69
141,Argentina,2020-07-01,92.59,79.17,75.0,78.65
142,Argentina,2020-08-01,90.74,77.98,75.0,77.6
143,Argentina,2020-09-01,87.96,76.19,75.0,76.04
144,Argentina,2020-10-01,87.96,78.57,75.0,78.12
145,Argentina,2020-11-01,81.94,74.7,75.0,74.74
146,Argentina,2020-12-01,79.17,72.92,75.0,73.18
147,Argentina,2021-01-01,79.17,71.96,75.0,72.34
148,Argentina,2021-02-01,79.17,71.96,50.0,69.22
149,Argentina,2021-03-01,77.31,72.2,50.0,69.43
150,Argentina,2021-04-01,71.76,68.63,50.0,66.3
151,Argentina,2021-05-01,77.31,73.63,50.0,70.68
152,Argentina,2021-06-01,81.48,76.31,50.0,73.02
153,Argentina,2021-07-01,75.0,72.14,50.0,69.38
154,Argentina,2021-08-01,75.0,72.14,50.0,69.38
155,Argentina,2021-09-01,75.93,74.17,50.0,71.15
156,Argentina,2021-10-01,42.59,50.95,50.0,50.83
157,Argentina,2021-11-01,42.59,52.74,25.0,49.27
158,Argentina,2021-12-01,42.59,54.17,0.0,47.4
159,Argentina,2022-01-01,46.3,58.33,25.0,54.17
160,Argentina,2022-02-01,37.04,48.81,50.0,48.96
