,Unnamed: 0,CountryName,Date,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
0,0,Aruba,20220101,41.67,44.27,47.02,25.0
31,31,Aruba,20220201,32.41,39.06,41.07,25.0
59,59,Aruba,20220301,28.7,36.98,38.69,25.0
75,75,Afghanistan,20220101,19.44,16.88,19.29,0.0
106,106,Afghanistan,20220201,19.44,16.88,19.29,0.0
134,134,Afghanistan,20220301,19.44,16.88,19.29,0.0
150,150,Angola,20220101,66.67,59.9,68.45,0.0
181,181,Angola,20220201,70.37,61.98,70.83,0.0
209,209,Angola,20220301,60.19,59.9,68.45,0.0
225,225,Albania,20220101,46.3,52.6,52.98,50.0
256,256,Albania,20220201,61.11,57.81,58.93,50.0
284,284,Albania,20220301,46.3,43.75,50.0,0.0
300,300,Andorra,20220101,59.26,72.92,69.05,100.0
331,331,Andorra,20220201,35.19,56.25,50.0,100.0
359,359,Andorra,20220301,23.15,46.35,42.26,75.0
375,375,United Arab Emirates,20220101,52.78,49.48,56.55,0.0
406,406,United Arab Emirates,20220201,44.44,44.79,51.19,0.0
434,434,United Arab Emirates,20220301,40.74,42.71,48.81,0.0
450,450,Argentina,20220101,46.3,54.17,58.33,25.0
481,481,Argentina,20220201,37.04,48.96,48.81,50.0
509,509,Argentina,20220301,,,,
525,525,Australia,20220101,40.28,45.31,51.79,0.0
556,556,Australia,20220201,55.56,53.91,61.61,0.0
584,584,Australia,20220301,51.39,50.78,58.04,0.0
600,600,Austria,20220101,64.81,77.08,73.81,100.0
631,631,Austria,20220201,61.11,75.0,71.43,100.0
659,659,Austria,20220301,57.41,72.92,69.05,100.0
675,675,Azerbaijan,20220101,49.07,48.44,55.36,0.0
706,706,Azerbaijan,20220201,46.3,54.17,51.19,75.0
734,734,Azerbaijan,20220301,,,,
750,750,Burundi,20220101,16.67,26.88,30.71,0.0
781,781,Burundi,20220201,19.44,26.67,28.69,12.5
809,809,Burundi,20220301,25.0,25.1,28.69,0.0
825,825,Belgium,20220101,44.44,52.6,60.12,0.0
856,856,Belgium,20220201,50.0,55.73,63.69,0.0
884,884,Belgium,20220301,46.3,53.65,61.31,0.0
900,900,Benin,20220101,55.56,54.17,54.76,50.0
931,931,Benin,20220201,53.7,53.13,51.79,62.5
959,959,Benin,20220301,,,,
975,975,Burkina Faso,20220101,13.89,29.69,33.93,0.0
1006,1006,Burkina Faso,20220201,17.59,25.52,29.17,0.0
1034,1034,Burkina Faso,20220301,,,,
1050,1050,Bangladesh,20220101,38.89,55.21,55.95,50.0
1081,1081,Bangladesh,20220201,68.52,65.62,75.0,0.0
1109,1109,Bangladesh,20220301,31.48,44.79,51.19,0.0
1125,1125,Bulgaria,20220101,50.0,60.94,57.14,87.5
1156,1156,Bulgaria,20220201,44.44,57.81,53.57,87.5
1184,1184,Bulgaria,20220301,44.44,57.81,53.57,87.5
1200,1200,Bahrain,20220101,32.41,44.27,50.6,0.0
1231,1231,Bahrain,20220201,50.93,57.81,66.07,0.0
1259,1259,Bahrain,20220301,38.89,51.04,58.33,0.0
1275,1275,Bahamas,20220101,48.15,50.83,58.1,0.0
1306,1306,Bahamas,20220201,42.59,47.71,54.52,0.0
1334,1334,Bahamas,20220301,62.96,58.85,67.26,0.0
1350,1350,Bosnia and Herzegovina,20220101,35.19,42.5,41.43,50.0
1381,1381,Bosnia and Herzegovina,20220201,36.11,37.5,42.86,0.0
1409,1409,Bosnia and Herzegovina,20220301,36.11,39.58,45.24,0.0
1425,1425,Belarus,20220101,19.44,23.75,27.14,0.0
1456,1456,Belarus,20220201,23.15,25.83,29.52,0.0
1484,1484,Belarus,20220301,23.15,25.83,29.52,0.0
1500,1500,Belize,20220101,72.22,70.83,73.81,50.0
1531,1531,Belize,20220201,72.22,70.83,73.81,
1559,1559,Belize,20220301,54.63,59.37,60.71,50.0
1575,1575,Bermuda,20220101,45.37,60.42,58.33,75.0
1606,1606,Bermuda,20220201,44.44,59.9,57.74,75.0
1634,1634,Bermuda,20220301,,,,
1650,1650,Bolivia,20220101,26.85,40.1,45.83,0.0
1681,1681,Bolivia,20220201,21.3,30.73,35.12,0.0
1709,1709,Bolivia,20220301,50.0,46.88,53.57,0.0
1725,1725,Brazil,20220101,,,,
1756,1756,Brazil,20220201,,,,
1784,1784,Brazil,20220301,,,,
1800,1800,Brazil,20220101,,,,
1831,1831,Brazil,20220201,,,,
1859,1859,Brazil,20220301,,,,
1875,1875,Brazil,20220101,,,,
1906,1906,Brazil,20220201,,,,
1934,1934,Brazil,20220301,,,,
1950,1950,Brazil,20220101,,,,
1981,1981,Brazil,20220201,,,,
2009,2009,Brazil,20220301,,,,
2025,2025,Brazil,20220101,,,,
2056,2056,Brazil,20220201,,,,
2084,2084,Brazil,20220301,,,,
2100,2100,Brazil,20220101,,,,
2131,2131,Brazil,20220201,,,,
2159,2159,Brazil,20220301,,,,
2175,2175,Brazil,20220101,,,,
2206,2206,Brazil,20220201,,,,
2234,2234,Brazil,20220301,,,,
2250,2250,Brazil,20220101,,,,
2281,2281,Brazil,20220201,,,,
2309,2309,Brazil,20220301,,,,
2325,2325,Brazil,20220101,,,,
2356,2356,Brazil,20220201,,,,
2384,2384,Brazil,20220301,,,,
2400,2400,Brazil,20220101,,,,
2431,2431,Brazil,20220201,,,,
2459,2459,Brazil,20220301,,,,
2475,2475,Brazil,20220101,,,,
2506,2506,Brazil,20220201,,,,
2534,2534,Brazil,20220301,,,,
2550,2550,Brazil,20220101,,,,
2581,2581,Brazil,20220201,,,,
2609,2609,Brazil,20220301,,,,
2625,2625,Brazil,20220101,,,,
2656,2656,Brazil,20220201,,,,
2684,2684,Brazil,20220301,,,,
2700,2700,Brazil,20220101,,,,
2731,2731,Brazil,20220201,,,,
2759,2759,Brazil,20220301,,,,
2775,2775,Brazil,20220101,,,,
2806,2806,Brazil,20220201,,,,
2834,2834,Brazil,20220301,,,,
2850,2850,Brazil,20220101,,,,
2881,2881,Brazil,20220201,,,,
2909,2909,Brazil,20220301,,,,
2925,2925,Brazil,20220101,,,,
2956,2956,Brazil,20220201,,,,
2984,2984,Brazil,20220301,,,,
3000,3000,Brazil,20220101,,,,
3031,3031,Brazil,20220201,,,,
3059,3059,Brazil,20220301,,,,
3075,3075,Brazil,20220101,,,,
3106,3106,Brazil,20220201,,,,
3134,3134,Brazil,20220301,,,,
3150,3150,Brazil,20220101,,,,
3181,3181,Brazil,20220201,,,,
3209,3209,Brazil,20220301,,,,
3225,3225,Brazil,20220101,,,,
3256,3256,Brazil,20220201,,,,
3284,3284,Brazil,20220301,,,,
3300,3300,Brazil,20220101,,,,
3331,3331,Brazil,20220201,,,,
3359,3359,Brazil,20220301,,,,
3375,3375,Brazil,20220101,,,,
3406,3406,Brazil,20220201,,,,
3434,3434,Brazil,20220301,,,,
3450,3450,Brazil,20220101,,,,
3481,3481,Brazil,20220201,,,,
3509,3509,Brazil,20220301,,,,
3525,3525,Brazil,20220101,,,,
3556,3556,Brazil,20220201,,,,
3584,3584,Brazil,20220301,,,,
3600,3600,Brazil,20220101,,,,
3631,3631,Brazil,20220201,,,,
3659,3659,Brazil,20220301,,,,
3675,3675,Brazil,20220101,,,,
3706,3706,Brazil,20220201,,,,
3734,3734,Brazil,20220301,,,,
3750,3750,Brazil,20220101,61.57,54.95,59.23,25.0
3781,3781,Brazil,20220201,61.57,54.95,59.23,25.0
3809,3809,Brazil,20220301,69.91,62.76,68.15,25.0
3825,3825,Barbados,20220101,67.59,67.71,70.24,50.0
3856,3856,Barbados,20220201,59.26,63.02,68.45,25.0
3884,3884,Barbados,20220301,42.59,50.52,54.17,25.0
3900,3900,Brunei,20220101,57.41,59.37,67.86,0.0
3931,3931,Brunei,20220201,57.41,59.37,67.86,0.0
3959,3959,Brunei,20220301,57.41,59.37,67.86,0.0
3975,3975,Bhutan,20220101,49.07,60.94,60.71,62.5
4006,4006,Bhutan,20220201,75.46,78.91,79.46,75.0
4034,4034,Bhutan,20220301,73.61,77.08,77.38,75.0
4050,4050,Botswana,20220101,17.59,33.33,38.1,0.0
4081,4081,Botswana,20220201,13.89,31.25,35.71,0.0
4109,4109,Botswana,20220301,,,,
4125,4125,Central African Republic,20220101,18.52,28.44,32.5,0.0
4156,4156,Central African Republic,20220201,18.52,28.44,32.5,0.0
4184,4184,Central African Republic,20220301,18.52,,,
4200,4200,Canada,20220101,53.7,55.21,57.74,37.5
4231,4231,Canada,20220201,52.78,54.69,57.14,37.5
4259,4259,Canada,20220301,28.7,39.58,39.88,37.5
4275,4275,Canada,20220101,52.78,53.12,55.36,37.5
